2020-01-01,0
2020-01-02,1
2020-01-03,2
2020-01-04,3
2020-01-05,4
2020-01-06,5
2020-01-07,6
2020-01-08,7
2020-01-09,8
2020-01-10,9
2020-01-11,10
2020-01-12,11
2020-01-13,12
2020-01-14,13
2020-01-15,14
2020-01-16,15
2020-01-17,16
2020-01-18,17
2020-01-19,18
2020-01-20,19
2020-01-21,20
2020-01-22,21
2020-01-23,22
2020-01-24,23
2020-01-25,24
2020-01-26,25
2020-01-27,26
2020-01-28,27
2020-01-29,28
2020-01-30,29
2020-01-31,30
2020-02-01,31
2020-02-02,32
2020-02-03,33
2020-02-04,34
2020-02-05,35
2020-02-06,36
2020-02-07,37
2020-02-08,38
2020-02-09,39
2020-02-10,40
2020-02-11,41
2020-02-12,42
2020-02-13,43
2020-02-14,44
2020-02-15,45
2020-02-16,46
2020-02-17,47
2020-02-18,48
2020-02-19,49
2020-02-20,50
2020-02-21,51
2020-02-22,52
2020-02-23,53
2020-02-24,54
2020-02-25,55
2020-02-26,56
2020-02-27,57
2020-02-28,58
2020-02-29,59
2020-03-01,60
2020-03-02,61
2020-03-03,62
2020-03-04,63
2020-03-05,64
2020-03-06,65
2020-03-07,66
2020-03-08,67
2020-03-09,68
2020-03-10,69
